173
306	333	8
306	324	0
306	323	0
307	333	8
307	318	0
307	317	0
307	316	0
307	315	0
307	314	0
307	313	0
308	333	8
308	327	0
308	326	0
308	325	0
309	333	8
309	329	0
309	328	0
310	333	8
310	331	0
310	330	0
311	333	8
311	320	0
311	319	0
312	333	8
312	322	0
312	321	0
313	370	5
313	351	6
313	323	3
313	317	3
313	314	3
313	376	7
314	370	5
314	351	6
314	317	3
314	313	3
314	376	7
315	371	5
315	351	6
315	321	3
315	316	3
315	376	7
316	371	5
316	351	6
316	321	3
316	317	3
316	315	3
316	376	7
317	372	5
317	352	6
317	326	3
317	322	3
317	318	3
317	316	3
317	314	3
317	313	3
317	376	7
318	372	5
318	352	6
318	330	3
318	320	3
318	317	3
318	376	7
319	373	5
319	353	6
319	320	3
319	377	7
320	373	5
320	353	6
320	319	3
320	318	3
320	377	7
321	374	5
321	348	6
321	331	3
321	316	3
321	315	3
321	377	7
322	374	5
322	348	6
322	331	3
322	324	3
322	317	3
322	377	7
323	375	5
323	349	6
323	329	3
323	327	3
323	313	3
323	377	7
324	375	5
324	349	6
324	326	3
324	322	3
324	377	7
325	349	6
325	327	3
325	378	7
326	349	6
326	324	3
326	317	3
326	378	7
327	349	6
327	325	3
327	323	3
327	378	7
328	350	6
328	329	3
328	378	7
329	350	6
329	328	3
329	323	3
329	378	7
330	350	6
330	331	3
330	318	3
330	378	7
331	350	6
331	330	3
331	322	3
331	321	3
331	378	7
332	379	2
333	379	2
334	379	2
335	379	2
336	379	2
337	379	2
338	379	2
339	379	2
340	379	2
341	379	2
342	379	2
343	379	2
344	379	2
348	369	1
348	347	4
349	369	1
349	347	4
350	369	1
350	347	4
351	369	1
351	345	4
352	369	1
352	345	4
353	369	1
353	345	4
354	367	1
354	347	4
355	367	1
355	347	4
356	367	1
356	347	4
357	367	1
357	345	4
358	367	1
358	345	4
359	367	1
359	345	4
360	367	1
360	345	4
361	368	1
361	346	4
362	368	1
362	346	4
363	368	1
363	346	4
364	368	1
364	346	4
365	368	1
365	346	4
366	368	1
366	346	4
